0,5
0,7
0,10
0,21
0,24
0,31
0,46
0,48
0,73
0,89
0,97
0,107
0,108
0,110
0,113
0,117
0,120
0,122
1,3
1,8
1,36
1,39
1,44
1,57
1,75
1,76
1,77
1,99
1,102
1,110
1,114
1,125
1,126
1,127
1,128
1,131
1,133
2,1
2,32
2,41
2,54
2,56
2,82
3,63
3,125
4,1
4,15
4,32
4,38
4,56
4,62
4,74
4,75
4,79
4,93
4,103
5,0
5,10
5,18
5,21
5,31
5,32
5,38
5,46
5,61
5,62
5,74
5,86
5,89
5,97
5,103
5,104
5,107
5,108
5,110
5,113
5,117
5,120
5,122
6,50
6,90
6,99
6,115
7,0
7,21
7,24
7,26
7,31
7,46
7,88
7,89
7,97
7,108
7,113
7,117
7,120
7,122
8,35
10,0
10,5
10,7
10,18
10,21
10,56
10,70
10,89
10,97
10,107
10,108
10,110
10,117
11,52
11,105
12,26
12,60
12,81
13,22
13,33
13,95
13,101
13,123
14,25
14,29
14,36
14,43
14,44
14,49
14,75
14,128
15,19
15,34
15,48
15,62
15,86
15,107
15,120
15,121
15,132
18,5
18,26
18,48
18,62
18,86
18,107
18,110
19,40
19,44
19,51
19,85
19,90
19,99
19,109
19,119
19,129
20,50
21,0
21,5
21,10
21,31
21,32
21,46
21,56
21,62
21,89
21,97
21,108
21,113
21,117
22,26
22,40
22,53
22,71
22,93
22,98
22,103
22,116
22,130
23,83
23,87
23,123
24,0
24,31
24,32
24,37
24,46
24,89
24,108
24,113
25,27
25,52
25,64
25,107
25,125
25,132
26,12
26,18
26,22
26,29
26,34
26,38
26,53
26,57
26,62
26,65
26,93
26,94
26,120
26,126
26,131
27,25
27,46
27,53
27,81
27,124
27,125
28,81
28,102
28,123
29,14
29,26
29,35
29,38
29,63
29,75
29,93
29,107
29,116
29,127
29,132
30,40
30,99
30,109
31,0
31,5
31,7
31,10
31,21
31,46
31,62
31,89
31,97
31,108
31,110
31,113
31,117
31,120
31,122
32,1
32,5
32,16
32,21
32,37
32,46
32,56
32,62
32,70
32,89
32,93
32,103
33,13
33,43
33,78
33,115
34,15
35,29
35,37
35,110
35,125
36,14
36,29
36,58
36,93
36,95
36,107
36,116
36,119
36,127
36,132
37,17
37,24
37,32
37,35
37,41
37,53
37,93
37,103
37,120
38,2
38,4
38,5
38,23
38,26
38,41
38,56
38,57
38,60
38,65
38,71
38,92
38,93
38,97
38,104
38,112
38,113
38,117
40,19
40,22
40,30
40,53
40,69
40,109
40,112
40,114
40,126
41,1
41,2
41,18
41,25
41,37
41,38
41,49
41,70
41,74
41,94
42,11
42,40
42,100
42,125
43,14
43,33
44,14
44,25
44,36
44,49
44,51
44,101
45,59
45,125
45,127
46,0
46,1
46,5
46,7
46,10
46,21
46,24
46,27
46,31
46,32
46,48
46,54
46,56
46,57
46,70
46,88
46,89
46,97
46,103
46,108
46,112
46,113
46,117
46,122
46,124
47,66
47,84
48,21
48,26
48,46
48,60
48,62
48,107
48,113
48,120
48,132
49,14
49,41
49,44
49,54
49,74
49,75
49,81
49,84
49,89
49,94
49,102
50,20
51,19
51,44
51,67
51,129
52,16
52,35
52,63
52,91
52,105
52,127
53,26
53,27
53,40
53,63
53,79
53,104
53,125
54,2
54,12
54,23
54,46
54,49
54,77
54,81
54,87
54,94
54,112
55,37
55,93
55,111
55,117
55,129
56,1
56,2
56,4
56,10
56,32
56,37
56,38
56,70
56,83
56,103
56,110
58,36
58,115
58,119
59,68
59,104
59,114
60,12
60,18
60,26
60,48
60,61
60,62
60,74
60,93
60,108
60,120
60,126
61,18
61,26
61,48
61,60
61,74
61,87
61,107
61,108
61,117
62,5
62,18
62,22
62,26
62,31
62,32
62,48
62,60
62,61
62,86
62,94
62,97
62,107
62,113
62,120
63,52
63,127
64,16
64,25
64,73
65,12
65,22
65,26
65,57
65,74
65,93
65,103
65,119
